INDEX-Name-Age-Country-Height-Hair_Colour-YLA-CONF
0-#]Jeanne Wallace-86-CODE:MY-157-White-1-YES
1-#]Anthony Gentry-49-CODE:QA-162-Black-1-YES
2-#]Marcia Jones-75-CODE:IE-186-Dyed-1-YES
3-"#]James Patch-Walker-Willis"-18-CODE:KI-166-Ginger-1-YES
4-#]Vickie White-42-CODE:CO-160-Blonde-1-YES
5-#]Dwayne Peterson-70-CODE:UZ-142-Dyed-1-YES
6-#]Rose Rubottom-79-CODE:PL-141-White-1-YES
7-#]Thomas Salas-30-CODE:ML-156-Black-1-YES
8-#]Xiao Uong-41-CODE:AD-159-Blonde-1-YES
9-#]Lakisha Stewart-48-CODE:CF-182-Blonde-1-YES
10-#]Claire Nunes-43-CODE:SN-171-Black-1-YES
11-#]Cheryl Person-73-CODE:CU-155-Blonde-1-YES
12-#]Tina Mesiti-27-CODE:CN-147-Black-1-YES
13-#]James Santos-33-CODE:EE-143-White-1-YES
14-#]Chester Bradshaw-28-CODE:ER-182-Blonde-1-YES
15-#]Dale Mitchell-78-CODE:VN-162-Ginger-1-YES
16-#]Rodney Chesney-56-CODE:BT-153-Ginger-1-YES
17-#]Margaret Anderson-48-CODE:VN-194-Blonde-1-YES
18-#]Richard Chung-21-CODE:KM-188-Black-1-YES
19-#]Kathleen Mcreynolds-26-CODE:WS-193-Blonde-1-YES
20-#]Larry Mitchell-66-CODE:VA-190-Blonde-1-YES
21-#]Cassie Smith-69-CODE:YU-163-Black-1-YES
22-#]John Pigg-23-CODE:PA-144-Brown-1-YES
23-#]Jeffrey Hood-69-CODE:AF-147-Black-1-YES
24-#]Darryl Crews-67-CODE:PR-151-Ginger-1-YES
25-#]Nina Simonson-71-CODE:CZ-179-Dyed-1-YES
26-#]Eula Mainor-56-CODE:AI-186-Ginger-1-YES
27-#]Brian Josephs-25-CODE:NZ-190-White-1-YES
28-#]Mary Petersen-34-CODE:MC-149-White-1-YES
29-#]Lahoma Martinez-79-CODE:TT-171-Brown-1-YES
30-#]Stella Geiger-58-CODE:NL-188-Black-1-YES
31-#]Marina Bodie-29-CODE:CU-198-Brown-1-YES
32-#]Priscilla Johnson-43-CODE:LB-181-Blonde-1-YES
33-#]Eric Farris-49-CODE:CA-150-Brown-1-YES
34-#]Javier Fischer-36-CODE:TK-177-Blonde-1-YES
35-#]Murray Carl-32-CODE:MS-167-Blonde-1-YES
36-#]Robert Hardy-23-CODE:NF-186-Brown-1-YES
37-#]Stephan Butler-40-CODE:PH-159-White-1-YES
38-#]Teresa Ortiz-59-CODE:TZ-143-Blonde-1-YES
39-#]Douglas Brubaker-38-CODE:GE-175-Black-1-YES
40-#]Carmen Kleffman-66-CODE:ET-161-Black-1-YES
41-#]Frederick Avery-46-CODE:DJ-180-White-1-YES
42-"#]Tracy Briggs-Johnson-Carver"-82-CODE:TG-171-White-1-YES
43-#]Janet Ramirez-78-CODE:VC-178-White-1-YES
44-#]Ronald Henriquez-41-CODE:CI-152-Black-1-YES
45-#]Olive Powell-45-CODE:IE-159-Black-1-YES
46-#]Brian Medez-21-CODE:SC-189-Black-1-YES
47-#]David Sanchez-82-CODE:MY-196-White-1-YES
48-#]Jacqueline Rayford-44-CODE:DE-180-White-1-YES
49-#]Margery Jeffords-49-CODE:DJ-191-Black-1-YES
50-#]Teresa Self-85-CODE:CM-153-Black-1-YES
51-#]Maria Turcotte-53-CODE:TT-161-Black-1-YES
52-#]Stephen Chipman-46-CODE:AR-200-White-1-YES
53-#]Jose Martin-72-CODE:MK-173-Black-1-YES
54-#]Nona Dorrance-71-CODE:SO-151-Ginger-1-YES
55-#]Nadine Subido-46-CODE:LT-152-Blonde-1-YES
56-#]Tiffani Nielsen-84-CODE:LC-191-Black-1-YES
57-#]Andre Smith-81-CODE:TW-197-Blonde-1-YES
58-#]Janet Zenger-42-CODE:BV-164-Dyed-1-YES
59-#]Joe Collins-65-CODE:KM-145-Black-1-YES
60-#]Sean Lomas-79-CODE:SO-174-Black-1-YES
61-#]Rebecca Asuncion-74-CODE:UK-145-Brown-1-YES
62-#]Richard Sampson-76-CODE:IL-168-Black-1-YES
63-#]Joseph Minard-31-CODE:BB-159-Blonde-1-YES
64-#]Jesse Harvilla-87-CODE:SB-155-Blonde-1-YES
65-#]Lena Leach-35-CODE:MH-194-Ginger-1-YES
66-#]Cassandra Keef-65-CODE:IR-178-Brown-1-YES
67-#]Ronald Weeks-76-CODE:SG-164-Brown-1-YES
68-#]Myrna Hague-63-CODE:BG-154-Brown-1-YES
69-#]Kristina Johnson-18-CODE:KE-188-Ginger-1-YES
70-#]Timothy Baker-60-CODE:PT-197-Dyed-1-YES
71-#]Marry Terry-72-CODE:MC-200-Blonde-1-YES
72-#]Luis Jenkins-23-CODE:PL-196-Black-1-YES
73-#]Minnie Marsh-21-CODE:EC-186-Brown-1-YES
74-#]Richard Pittsley-44-CODE:IT-183-Brown-1-YES
75-#]Scott May-82-CODE:TV-180-White-1-YES
76-#]Roberta Owens-33-CODE:LY-176-Blonde-1-YES
77-#]Patricia Smith-27-CODE:DZ-180-White-1-YES
78-#]Damon Rambo-38-CODE:SE-157-Ginger-1-YES
79-#]Phyllis Smith-60-CODE:YU-166-Brown-1-YES
80-#]Curtis Sublett-80-CODE:KM-177-Dyed-1-YES
81-#]Lois Faines-72-CODE:KP-172-Dyed-1-YES
82-#]Melinda Johnston-48-CODE:KP-180-Black-1-YES
83-#]Charlie Johnson-76-CODE:GM-181-Black-1-YES
84-#]Betty Huey-56-CODE:FK-176-Dyed-1-YES
85-#]Carl Wolfe-52-CODE:AQ-163-Ginger-1-YES
86-#]Donald Schuelke-19-CODE:NC-159-Brown-1-YES
87-#]Frederick Ferguson-45-CODE:SE-182-Dyed-1-YES
88-#]Ruby Medina-35-CODE:DZ-198-Brown-1-YES
89-#]Eva Rhudy-60-CODE:CY-188-Black-1-YES
90-#]Maida Patterson-26-CODE:BW-200-Brown-1-YES
91-#]Carrie Traynor-51-CODE:LT-196-Black-1-YES
92-#]Howard Olson-85-CODE:CZ-199-Brown-1-YES
93-#]Victor Vuong-72-CODE:SL-196-Black-1-YES
94-#]Olivia Robertson-39-CODE:TH-157-Blonde-1-YES
95-#]Robert Speight-79-CODE:DM-146-Brown-1-YES
96-#]Paul Conklin-24-CODE:LV-194-Blonde-1-YES
97-#]Mary Martin-28-CODE:ST-199-Brown-1-YES
98-#]Philip Mauk-65-CODE:IQ-171-Black-1-YES
99-#]Ruby Campbell-68-CODE:CI-188-White-1-YES
100-#]Robert Cromwell-24-CODE:PN-168-Brown-1-YES
101-#]Jordan Jordan-75-CODE:JO-171-Brown-1-YES
102-#]Dennis Moreno-39-CODE:TK-164-Ginger-1-YES
103-#]Charles Hall-65-CODE:GP-140-Brown-1-YES
104-#]Thomasina Villalva-35-CODE:LI-144-Black-1-YES
105-#]Michael Naegeli-85-CODE:CA-175-Brown-1-YES
106-#]Donald Harrison-58-CODE:BW-155-Black-1-YES
107-#]Earlene Carothers-84-CODE:LT-153-Dyed-1-YES
108-#]Thomas Clyne-78-CODE:FO-179-White-1-YES
109-#]Mary Boulware-28-CODE:TH-169-White-1-YES
110-#]Edward Harrison-82-CODE:DJ-168-Black-1-YES
111-#]Alice Carlos-23-CODE:GM-177-White-1-YES
112-#]Karen Slaugh-81-CODE:BY-191-Blonde-1-YES
113-#]James Ford-57-CODE:GL-196-Black-1-YES
114-#]Glenn Pearson-65-CODE:KP-199-Ginger-1-YES
115-#]Mary Grigsby-63-CODE:NG-171-Brown-1-YES
116-#]Michael Lord-27-CODE:EH-186-White-1-YES
117-#]Richard Ward-61-CODE:NE-172-White-1-YES
118-#]Shirley Norris-19-CODE:DM-146-Brown-1-YES
119-#]Roderick Williams-55-CODE:KE-159-White-1-YES
120-#]Eva Barkley-66-CODE:VG-182-White-1-YES
121-#]Alice Dubois-69-CODE:AF-156-Black-1-YES
122-#]Harold Strickland-43-CODE:LY-162-Black-1-YES
123-#]Ida Kitsmiller-84-CODE:AF-182-Brown-1-YES
124-#]Sheri Nash-86-CODE:NO-148-White-1-YES
125-#]Leigh Umanzor-70-CODE:PT-195-Brown-1-YES
126-#]Kendra Prior-22-CODE:KG-187-Brown-1-YES
127-#]Edwin Strand-43-CODE:TG-168-Blonde-1-YES
128-#]Matthew Hensel-76-CODE:TP-181-Blonde-1-YES
129-#]Joseph Luongo-33-CODE:CM-198-Black-1-YES
